,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,fact1,fact2,answer
646,The place of birth of Reinhold Schünzel is,The place of birth of the director of Phantoms of Happiness is,Reinhold Schünzel,the director of Phantoms of Happiness,"['Phantoms of Happiness', 'director', 'Reinhold Schünzel']","['Reinhold Schünzel', 'place of birth', 'Hamburg']",Hamburg
647,The country of citizenship of Hugh I of Le Puiset is,The country of citizenship of the father of Gilduin of Le Puiset is,Hugh I of Le Puiset,the father of Gilduin of Le Puiset,"['Gilduin of Le Puiset', 'father', 'Hugh I of Le Puiset']","['Hugh I of Le Puiset', 'country of citizenship', 'France']",France
648,The place of birth of Patrick Read Johnson is,The place of birth of the director of Angus is,Patrick Read Johnson,the director of Angus,"['Angus', 'director', 'Patrick Read Johnson']","['Patrick Read Johnson', 'place of birth', 'Illinois']",Illinois
649,The place of death of Monime is,The place of death of the mother of Athenais Philostorgos II is,Monime,the mother of Athenais Philostorgos II,"['Athenais Philostorgos II', 'mother', 'Monime']","['Monime', 'place of death', 'Pharnacia']",Pharnacia
650,The place of death of Friz Freleng is,The place of death of the director of Rumors is,Friz Freleng,the director of Rumors,"['Rumors', 'director', 'Friz Freleng']","['Friz Freleng', 'place of death', 'Los Angeles']",Los Angeles
651,The place of birth of Michael D'Anna is,The place of birth of the director of Side Sho is,Michael D'Anna,the director of Side Sho,"['Side Sho', 'director', ""Michael D'Anna""]","[""Michael D'Anna"", 'place of birth', 'Nashville, Tennessee']","Nashville, Tennessee"
652,The place of birth of Nathan Juran is,The place of birth of the director of Gunsmoke is,Nathan Juran,the director of Gunsmoke,"['Gunsmoke', 'director', 'Nathan Juran']","['Nathan Juran', 'place of birth', 'Gura Humorului']",Gura Humorului
653,The date of death of Clementia of Burgundy is,The date of death of the mother of Baldwin VII of Flanders is,Clementia of Burgundy,the mother of Baldwin VII of Flanders,"['Baldwin VII of Flanders', 'mother', 'Clementia of Burgundy']","['Clementia of Burgundy', 'date of death', '1133']",1133
654,The place of birth of Peter Sellers is,The place of birth of the father of Michael Peter Anthony Sellers is,Peter Sellers,the father of Michael Peter Anthony Sellers,"['Michael Peter Anthony Sellers', 'father', 'Peter Sellers']","['Peter Sellers', 'place of birth', 'Southsea']",Southsea
655,The date of birth of Caroline of Nassau-Saarbrücken is,"The date of birth of the mother of Frederick Michael, Count Palatine of Zweibrücken is",Caroline of Nassau-Saarbrücken,"the mother of Frederick Michael, Count Palatine of Zweibrücken","['Frederick Michael, Count Palatine of Zweibrücken', 'mother', 'Caroline of Nassau-Saarbrücken']","['Caroline of Nassau-Saarbrücken', 'date of birth', '12 August 1704']",12 August 1704
656,"The country of citizenship of Thomas Stewart, 2nd Earl of Angus is","The country of citizenship of the father of Margaret Stewart, Countess of Angus is","Thomas Stewart, 2nd Earl of Angus","the father of Margaret Stewart, Countess of Angus","['Margaret Stewart, Countess of Angus', 'father', 'Thomas Stewart, 2nd Earl of Angus']","['Thomas Stewart, 2nd Earl of Angus', 'country of citizenship', 'Scottish']",Scottish
657,The place of death of Callicrates is,The place of death of the father of Phintys is,Callicrates,the father of Phintys,"['Phintys', 'father', 'Callicrates']","['Callicrates', 'place of death', 'Athens']",Athens
658,The place of death of Alexander Korda is,The place of death of the director of Harrison and Barrison is,Alexander Korda,the director of Harrison and Barrison,"['Harrison and Barrison', 'director', 'Alexander Korda']","['Alexander Korda', 'place of death', 'London']",London
659,The place of birth of Albert S. Rogell is,The place of birth of the director of Sweepstakes is,Albert S. Rogell,the director of Sweepstakes,"['Sweepstakes', 'director', 'Albert S. Rogell']","['Albert S. Rogell', 'place of birth', 'Oklahoma City, Oklahoma']","Oklahoma City, Oklahoma"
660,The place of birth of Gary Lineker is,The place of birth of the spouse of Danielle Lineker is,Gary Lineker,the spouse of Danielle Lineker,"['Danielle Lineker', 'spouse', 'Gary Lineker']","['Gary Lineker', 'place of birth', 'Leicester']",Leicester
661,The country of citizenship of Mark Burnett is,The country of citizenship of the creator of Expedition Impossible is,Mark Burnett,the creator of Expedition Impossible,"['Expedition Impossible', 'creator', 'Mark Burnett']","['Mark Burnett', 'country of citizenship', 'British']",British
662,"The date of death of Francesco Ruspoli, 3rd Prince of Cerveteri is",The date of death of the father of Bartolomeo Ruspoli and Khevenhüller-Metsch is,"Francesco Ruspoli, 3rd Prince of Cerveteri",the father of Bartolomeo Ruspoli and Khevenhüller-Metsch,"['Bartolomeo Ruspoli and Khevenhüller-Metsch', 'father', 'Francesco Ruspoli, 3rd Prince of Cerveteri']","['Francesco Ruspoli, 3rd Prince of Cerveteri', 'date of death', 'March 8, 1829']","March 8, 1829"
663,"The country of citizenship of Emanuele Ruspoli, 1st Prince of Poggio Suasa is","The country of citizenship of the father of Camillo Ruspoli, 2nd Prince of Candriano is","Emanuele Ruspoli, 1st Prince of Poggio Suasa","the father of Camillo Ruspoli, 2nd Prince of Candriano","['Camillo Ruspoli, 2nd Prince of Candriano', 'father', 'Emanuele Ruspoli, 1st Prince of Poggio Suasa']","['Emanuele Ruspoli, 1st Prince of Poggio Suasa', 'country of citizenship', 'Italian']",Italian
664,The cause of death of Hugo Claus is,The cause of death of the director of Vrijdag is,Hugo Claus,the director of Vrijdag,"['Vrijdag', 'director', 'Hugo Claus']","['Hugo Claus', 'cause of death', 'euthanasia']",euthanasia
665,The place of birth of Gérard Krawczyk is,The place of birth of the director of It's Our Life! is,Gérard Krawczyk,the director of It's Our Life!,"[""It's Our Life!"", 'director', 'Gérard Krawczyk']","['Gérard Krawczyk', 'place of birth', 'Paris']",Paris
666,The date of birth of Jérôme Bonaparte is,The date of birth of the father of Napoléon Joseph Charles Paul Bonaparte is,Jérôme Bonaparte,the father of Napoléon Joseph Charles Paul Bonaparte,"['Napoléon Joseph Charles Paul Bonaparte', 'father', 'Jérôme Bonaparte']","['Jérôme Bonaparte', 'date of birth', '15 November 1784']",15 November 1784
667,The country of citizenship of Nina Simone is,The country of citizenship of the performer of Go Limp is,Nina Simone,the performer of Go Limp,"['Go Limp', 'performer', 'Nina Simone']","['Nina Simone', 'country of citizenship', 'American']",American
668,The country of citizenship of Andrew Lau is,The country of citizenship of the director of Look for a Star is,Andrew Lau,the director of Look for a Star,"['Look for a Star', 'director', 'Andrew Lau']","['Andrew Lau', 'country of citizenship', 'China']",China
669,The place of death of Princess Elisabeth Helene of Thurn and Taxis is,"The place of death of the mother of Albert, Margrave of Meissen (1934–2012) is",Princess Elisabeth Helene of Thurn and Taxis,"the mother of Albert, Margrave of Meissen (1934–2012)","['Albert, Margrave of Meissen (1934–2012)', 'mother', 'Princess Elisabeth Helene of Thurn and Taxis']","['Princess Elisabeth Helene of Thurn and Taxis', 'place of death', 'Munich']",Munich
670,The place of death of Donna Summer is,The place of death of the performer of Spring Affair is,Donna Summer,the performer of Spring Affair,"['Spring Affair', 'performer', 'Donna Summer']","['Donna Summer', 'place of death', 'Naples']",Naples
671,The place of detention of Meek Mill is,"The place of detention of the performer of ""B Boy is",Meek Mill,"the performer of ""B Boy","['""B Boy', 'performer', 'Meek Mill']","['Meek Mill', 'place of detention', 'State Correctional Institution – Chester']",State Correctional Institution – Chester
672,Saša Gedeon was educated at,The director of The Idiot Returns was educated at,Saša Gedeon,the director of The Idiot Returns,"['The Idiot Returns', 'director', 'Saša Gedeon']","['Saša Gedeon', 'educated at', 'Academy of Performing Arts in Prague']",Academy of Performing Arts in Prague
673,The date of death of Jelena Zrinska is,The date of death of the spouse of Francis I Rákóczi is,Jelena Zrinska,the spouse of Francis I Rákóczi,"['Francis I Rákóczi', 'spouse', 'Jelena Zrinska']","['Jelena Zrinska', 'date of death', '18 February 1703']",18 February 1703
674,The cause of death of George Armstrong Custer is,The cause of death of the spouse of Elizabeth Clift Custer is,George Armstrong Custer,the spouse of Elizabeth Clift Custer,"['Elizabeth Clift Custer', 'spouse', 'George Armstrong Custer']","['George Armstrong Custer', 'cause of death', 'Battle of the Little Bighorn']",Battle of the Little Bighorn
675,"Nathaniel Clements, 2nd Earl of Leitrim was educated at",The father of Charles Skeffington Clements was educated at,"Nathaniel Clements, 2nd Earl of Leitrim",the father of Charles Skeffington Clements,"['Charles Skeffington Clements', 'father', 'Nathaniel Clements, 2nd Earl of Leitrim']","['Nathaniel Clements, 2nd Earl of Leitrim', 'educated at', 'Oriel College']",Oriel College
676,The place of burial of Michel Colombier is,The place of burial of the composer of How Stella Got Her Groove Back is,Michel Colombier,the composer of How Stella Got Her Groove Back,"['How Stella Got Her Groove Back', 'composer', 'Michel Colombier']","['Michel Colombier', 'place of burial', 'Westwood Village Memorial Park Cemetery']",Westwood Village Memorial Park Cemetery
677,The place of birth of Douglas Jackson is,The place of birth of the director of Deadbolt is,Douglas Jackson,the director of Deadbolt,"['Deadbolt', 'director', 'Douglas Jackson']","['Douglas Jackson', 'place of birth', 'Montreal, Quebec']","Montreal, Quebec"
678,The country of citizenship of Abbas Kiarostami is,The country of citizenship of the director of Close-Up is,Abbas Kiarostami,the director of Close-Up,"['Close-Up', 'director', 'Abbas Kiarostami']","['Abbas Kiarostami', 'country of citizenship', 'Iran']",Iran
679,The country of citizenship of Robert Ballard is,The country of citizenship of the director of Secrets of the Titanic is,Robert Ballard,the director of Secrets of the Titanic,"['Secrets of the Titanic', 'director', 'Robert Ballard']","['Robert Ballard', 'country of citizenship', 'United States']",United States
680,The country of citizenship of Hermann is,The country of citizenship of the father of Princess Elise of Hohenlohe-Langenburg is,Hermann,the father of Princess Elise of Hohenlohe-Langenburg,"['Princess Elise of Hohenlohe-Langenburg', 'father', 'Hermann']","['Hermann', 'country of citizenship', 'German']",German
681,Karl Salomo Zachariae von Lingenthal was educated at,The father of Karl Eduard Zachariae von Lingenthal was educated at,Karl Salomo Zachariae von Lingenthal,the father of Karl Eduard Zachariae von Lingenthal,"['Karl Eduard Zachariae von Lingenthal', 'father', 'Karl Salomo Zachariae von Lingenthal']","['Karl Salomo Zachariae von Lingenthal', 'educated at', 'University of Leipzig']",University of Leipzig
682,The place of birth of Henry Bolingbroke Woodward is,The place of birth of the father of Gertrude Mary Woodward is,Henry Bolingbroke Woodward,the father of Gertrude Mary Woodward,"['Gertrude Mary Woodward', 'father', 'Henry Bolingbroke Woodward']","['Henry Bolingbroke Woodward', 'place of birth', 'Norwich, England']","Norwich, England"
683,The place of birth of Buzz Potamkin is,The place of birth of the director of Buster & Chauncey's Silent Night is,Buzz Potamkin,the director of Buster & Chauncey's Silent Night,"[""Buster & Chauncey's Silent Night"", 'director', 'Buzz Potamkin']","['Buzz Potamkin', 'place of birth', 'American']",American
684,The employer of Pascal Bonitzer is,The employer of the director of Tout de suite maintenant is,Pascal Bonitzer,the director of Tout de suite maintenant,"['Tout de suite maintenant', 'director', 'Pascal Bonitzer']","['Pascal Bonitzer', 'employer', 'Cahiers du cinéma']",Cahiers du cinéma
685,The country of citizenship of Pere Portabella is,The country of citizenship of the director of Warsaw Bridge is,Pere Portabella,the director of Warsaw Bridge,"['Warsaw Bridge', 'director', 'Pere Portabella']","['Pere Portabella', 'country of citizenship', 'Spanish']",Spanish
686,The place of birth of Hans Schweikart is,The place of birth of the director of The Girl from Fano is,Hans Schweikart,the director of The Girl from Fano,"['The Girl from Fano', 'director', 'Hans Schweikart']","['Hans Schweikart', 'place of birth', 'Berlin']",Berlin
687,The place of birth of Robert Enrico is,The place of birth of the director of The Secret is,Robert Enrico,the director of The Secret,"['The Secret', 'director', 'Robert Enrico']","['Robert Enrico', 'place of birth', 'Liévin']",Liévin
688,The place of birth of Guy Maddin is,The place of birth of the director of The Heart of the World is,Guy Maddin,the director of The Heart of the World,"['The Heart of the World', 'director', 'Guy Maddin']","['Guy Maddin', 'place of birth', 'Winnipeg, Manitoba']","Winnipeg, Manitoba"
689,The place of birth of Edward I is,The place of birth of the father of Joan of Acre is,Edward I,the father of Joan of Acre,"['Joan of Acre', 'father', 'Edward I']","['Edward I', 'place of birth', 'Westminster']",Westminster
690,Jack Lee was educated at,The director of Circle of Deception was educated at,Jack Lee,the director of Circle of Deception,"['Circle of Deception', 'director', 'Jack Lee']","['Jack Lee', 'educated at', 'Marling School']",Marling School
691,The place of death of Quintus Fabius Maximus is,The place of death of the father of Africanus Fabius Maximus is,Quintus Fabius Maximus,the father of Africanus Fabius Maximus,"['Africanus Fabius Maximus', 'father', 'Quintus Fabius Maximus']","['Quintus Fabius Maximus', 'place of death', 'Roman']",Roman
